License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2602457,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,DOMJEN INC,DJ'S INN,2208 LEMOYNE AVE,,SYRACUSE,NY,13208,842184,12/30/2002,12/1/2014,11/30/2016,43.09154782,-76.14517248,"(43.09154782, -76.14517248)"
2602475,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,NOJAIM INC,,307 GIFFORD ST,WEST & NIAGARA,SYRACUSE,NY,13204,863323,1/15/2003,1/20/2015,12/31/2017,43.04337655,-76.1585911,"(43.04337655, -76.1585911)"
2602490,RESTAURANT WINE,341,RW,Albany,2,ONONDAGA,NICKS TOMATO PIE INC,NICKS TOMATO PIE,109 WALTON ST,,SYRACUSE,NY,13202,829765,12/18/2002,12/1/2015,11/30/2017,43.04796814,-76.15463178,"(43.04796814, -76.15463178)"
2602575,ON-PREMISES LIQUOR,252,OP,Albany,2,ONONDAGA,AMY 31 INC,THE PENNY,321 W FAYETTE ST,N CLINTON & WALTON,SYRACUSE,NY,13202,843772,6/12/2003,3/1/2015,2/28/2017,43.04865204,-76.15624784,"(43.04865204, -76.15624784)"
2602686,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,KLEEN FOOD MARKET INC,KLEEN FOOD MARKET,500 CATHERINE ST,WILLOW & HICKORY STS,SYRACUSE,NY,13203,867951,7/22/2003,7/1/2015,6/30/2018,43.05586991,-76.14372349,"(43.05586991, -76.14372349)"
2602703,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,QUICKSTOP EXPRESS INC,QUICKSTOP EXPRESS,4220 S SALINA ST,,SYRACUSE,NY,13205,866737,5/15/2003,5/1/2015,4/30/2018,43.00766144,-76.14294978,"(43.00766144, -76.14294978)"
2602718,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,ELIANA B WADY,SANNA MINI MART,6325 THOMPSON ROAD,,SYRACUSE,NY,13206,867249,5/12/2003,5/1/2015,4/30/2018,43.07677505,-76.08920981,"(43.07677505, -76.08920981)"
2602730,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,SYRACUSE UPSTATE MARKET INC,,124 MERRIMAN AVE,,SYRACUSE,NY,13204,869654,6/2/2003,6/5/2015,5/31/2018,43.04049685,-76.16302927,"(43.04049685, -76.16302927)"
2602841,SUMMER EATING PLACE BEER,441,SB,Albany,2,ONONDAGA,TULLY'S AMHERST INC,TULLY'S GOOD TIMES,STATE FAIR GROUNDS  SPACE 884,T/O GEDDES,SYRACUSE,NY,13209,881128,8/18/2003,7/7/2016,10/31/2016,,,
2602850,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,PAVIA'S SUPERMARKET LLC,,854 N SALINA ST,,SYRACUSE,NY,13208,871458,8/13/2003,8/1/2015,7/31/2018,43.06243252,-76.15455585,"(43.06243252, -76.15455585)"
2602861,"DRUG CHAIN, WINE PROD",126,DX,Albany,2,ONONDAGA,ECKERD CORPORATION,RITE AID PHARMACY #10766,4751 ONONDAGA BLVD,,SYRACUSE,NY,13219,871659,9/5/2003,8/1/2015,7/31/2018,43.03299276,-76.19184903,"(43.03299276, -76.19184903)"
2602909,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,BROTHERS FINE FOODS INC,BROTHERS FINE FOODS,106 DUDLEY ST,,SYRACUSE,NY,13204,871355,9/23/2003,9/1/2015,8/31/2018,43.03663617,-76.16901518,"(43.03663617, -76.16901518)"
2602940,GROCERY STORE BEER,122,A,Albany,2,ONONDAGA,DEV CONVENIENCE CORPORATION,DEB'S CONVENIENCE MART,2419-2421 S SALINA ST,MCKINLEY & AMHERST,SYRACUSE,NY,13205,872800,11/26/2003,11/1/2015,10/31/2018,43.02383097,-76.1443964,"(43.02383097, -76.1443964)"
2602967,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,HAFEZ QASEM,CHOICE ONE FOOD MARKET,1201-05 BUTTERNUT ST,FIRST NORTH & GRASSMAN,SYRACUSE,NY,13208,873023,10/28/2003,10/1/2015,9/30/2018,43.06642818,-76.1434085,"(43.06642818, -76.1434085)"
2603091,LIQUOR STORE,222,L,Albany,2,ONONDAGA,MAJESTIC HOLDINGS LLC,WESTVALE WINES & LIQUORS,2128 W GENESEE ST,CHARLES & PINEHILL RD,SYRACUSE,NY,13219,876681,3/25/2004,3/1/2016,2/28/2019,43.0481265,-76.19730908,"(43.0481265, -76.19730908)"
2603181,LIQUOR STORE,222,L,Albany,2,ONONDAGA,KARAM CORP,,4200 S SALINA ST,ANDERSON & FLORENCE,SYRACUSE,NY,13205,876832,4/26/2004,4/1/2016,3/31/2019,43.00799594,-76.14286404,"(43.00799594, -76.14286404)"
2603309,"GROCERY BEER, WINE PROD",122,AX,Albany,2,ONONDAGA,HANI HASSAN,VALLEY SUPERETTE,614 VALLEY DRIVE,,SYRACUSE,NY,13207,878641,5/24/2004,5/1/2016,4/30/2019,43.01078511,-76.15726316,"(43.01078511, -76.15726316)"
