"Establishment Number","Inspection Date","Time Orders Issued","Retention Of Food Equipment","Closure For Imminent Hazard","Closure For Cleaning","Disposed Of Food","Civil Penalty","Court Summons","Row Number",
"10261     ","8/5/2014 12:00:00 PM",0,0,0,0,1,0,0,322,
"10264     ","3/31/2015 2:30:00 PM",0,0,0,0,1,0,0,323,
"10264     ","6/1/2015 8:29:34 AM",1,0,0,0,0,0,0,324,
"10264     ","9/15/2015 8:30:00 AM",0,0,0,0,1,0,0,325,
"10264     ","3/24/2016 1:00:00 PM",0,0,0,0,1,0,0,326,
"10265     ","10/16/2014 3:15:10 PM",0,0,0,0,1,0,0,327,
"10265     ","9/11/2015 11:15:00 AM",0,0,0,0,1,0,0,328,
"10266     ","12/4/2014 10:30:00 AM",0,0,0,0,1,0,0,329,
"10267     ","9/11/2015 11:00:00 PM",0,0,0,0,1,0,0,330,
"10267     ","3/2/2016 10:10:00 AM",0,0,0,0,1,0,0,331,
"10268     ","9/17/2015 3:15:00 PM",0,0,0,0,1,0,0,332,
"10269     ","10/8/2014 9:15:00 AM",0,0,0,0,1,0,0,333,
"10269     ","3/13/2015 4:50:00 PM",1,0,0,0,0,0,0,334,
"1027      ","11/12/2003 12:00:00 AM",0,0,0,0,0,1,0,335,
"10270     ","1/23/2015 2:45:00 PM",0,0,0,0,1,0,0,336,
"10272     ","8/12/2015 11:00:00 AM",0,0,0,0,1,0,0,337,
"10272     ","3/25/2016 12:30:00 PM",0,0,0,0,1,0,0,338,
"10273     ","8/4/2015 12:00:00 PM",0,0,0,0,1,0,0,339,
"10274     ","9/3/2014 3:00:00 PM",0,0,0,0,1,0,0,340,
"10275     ","10/7/2015 10:55:00 AM",0,0,0,0,1,0,0,341,
"10275     ","11/6/2015 2:10:00 PM",0,0,0,0,1,0,0,342,
"10275     ","3/15/2016 11:10:00 AM",0,0,0,0,1,0,0,343,
"10276     ","3/2/2016 12:40:00 PM",0,0,0,0,1,0,0,344,
"1027cc    ","8/29/2002 12:00:00 AM",0,1,0,0,0,0,0,345,
